Reactome,m,proteins
S37 mutants of beta-catenin aren't phosphorylated,14,AMER1_HUMAN;2A5E_HUMAN;2A5B_HUMAN;2A5A_HUMAN;2A5D_HUMAN;2A5G_HUMAN;PP2AA_HUMAN;PP2AB_HUMAN;GSK3B_HUMAN;KC1A_HUMAN;CTNB1_HUMAN;2AAB_HUMAN;2AAA_HUMAN;APC_HUMAN;
S45 mutants of beta-catenin aren't phosphorylated,14,AMER1_HUMAN;2A5E_HUMAN;2A5B_HUMAN;2A5A_HUMAN;2A5D_HUMAN;2A5G_HUMAN;PP2AA_HUMAN;PP2AB_HUMAN;GSK3B_HUMAN;KC1A_HUMAN;CTNB1_HUMAN;2AAB_HUMAN;2AAA_HUMAN;APC_HUMAN;
Scavenging by Class A Receptors,26,MARCO_HUMAN;MARCO_HUMAN;COL11_HUMAN;SG3A2_HUMAN;SG3A2_HUMAN;SCAR5_HUMAN;COL12_HUMAN;MASP1_HUMAN;CALR_HUMAN;CALR_HUMAN;MSRE_HUMAN;MSRE_HUMAN;ENPL_HUMAN;ENPL_HUMAN;CO4A2_HUMAN;CO1A2_HUMAN;APOB_HUMAN;APOB_HUMAN;FRIH_HUMAN;FRIL_HUMAN;APOE_HUMAN;APOE_HUMAN;APOA1_HUMAN;APOA1_HUMAN;CO4A1_HUMAN;CO3A1_HUMAN;
Scavenging by Class B Receptors,8,SCRB1_HUMAN;CD36_HUMAN;CD36_HUMAN;SAA1_HUMAN;APOB_HUMAN;APOB_HUMAN;APOA1_HUMAN;APOA1_HUMAN;
Scavenging by Class F Receptors,11,HYOU1_HUMAN;HYOU1_HUMAN;HS105_HUMAN;HS105_HUMAN;SREC_HUMAN;SREC_HUMAN;CALR_HUMAN;CALR_HUMAN;HS90A_HUMAN;HS90A_HUMAN;APOB_HUMAN;
Scavenging by Class H Receptors,3,STAB1_HUMAN;STAB2_HUMAN;SPRC_HUMAN;
Scavenging of heme from plasma,68,C163A_HUMAN;LRP1_HUMAN;LV302_HUMAN;HBA_HUMAN;HBB_HUMAN;HV103_HUMAN;LAC3_HUMAN;LAC2_HUMAN;LAC1_HUMAN;LAC6_HUMAN;HV209_HUMAN;KV501_HUMAN;KV401_HUMAN;KV206_HUMAN;KV309_HUMAN;KV124_HUMAN;KV122_HUMAN;LV001_HUMAN;HEMO_HUMAN;ALBU_HUMAN;AMBP_HUMAN;APOA1_HUMAN;IGHA2_HUMAN;IGHA1_HUMAN;IGKC_HUMAN;HV207_HUMAN;HV206_HUMAN;HV204_HUMAN;HV201_HUMAN;HV321_HUMAN;HV319_HUMAN;HV311_HUMAN;HV307_HUMAN;HV306_HUMAN;HV305_HUMAN;HV303_HUMAN;HV302_HUMAN;HV301_HUMAN;HV102_HUMAN;HV101_HUMAN;LV601_HUMAN;LV404_HUMAN;LV403_HUMAN;LV401_HUMAN;LV301_HUMAN;LV206_HUMAN;LV203_HUMAN;LV202_HUMAN;LV201_HUMAN;LV105_HUMAN;LV103_HUMAN;LV102_HUMAN;LV101_HUMAN;KV306_HUMAN;KV301_HUMAN;KV202_HUMAN;KV201_HUMAN;KV119_HUMAN;KV110_HUMAN;KV109_HUMAN;KV107_HUMAN;KV105_HUMAN;KV102_HUMAN;KV101_HUMAN;IGJ_HUMAN;HPTR_HUMAN;HPT_HUMAN;APOL1_HUMAN;
SCF(Skp2)-mediated degradation of p27/p21,59,PSD13_HUMAN;PSME2_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;PSMF1_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PTK6_HUMAN;CUL1_HUMAN;SKP2_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;CCNA1_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;CKS1_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;CDN1B_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;CDN1A_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;CDK2_HUMAN;CCNE1_HUMAN;CCND1_HUMAN;PSB1_HUMAN;CCNA2_HUMAN;PRS6A_HUMAN;CDK4_HUMAN;UBC_HUMAN;UBB_HUMAN;CCNE2_HUMAN;PSD10_HUMAN;PSMD3_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;
SCF-beta-TrCP mediated degradation of Emi1,54,FBW1A_HUMAN;PSD13_HUMAN;FZR_HUMAN;PSME2_HUMAN;FBX5_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL1_HUMAN;PSMD2_HUMAN;CDC20_HUMAN;PSME1_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;PSD10_HUMAN;PSMD3_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
SDK interactions,1,SDK1_HUMAN;
Selenocysteine synthesis,93,RL36_HUMAN;RL26L_HUMAN;SPCS_HUMAN;SPS2_HUMAN;SEBP2_HUMAN;RL10L_HUMAN;RL39L_HUMAN;RL36L_HUMAN;RL3L_HUMAN;RS4Y2_HUMAN;PSTK_HUMAN;RS27L_HUMAN;RL22L_HUMAN;RL18_HUMAN;RL6_HUMAN;RL18A_HUMAN;RL19_HUMAN;RL36A_HUMAN;RL24_HUMAN;RS21_HUMAN;RL38_HUMAN;RL40_HUMAN;RS27A_HUMAN;RL41_HUMAN;RL8_HUMAN;RL11_HUMAN;RL32_HUMAN;RL10A_HUMAN;RL31_HUMAN;RL39_HUMAN;RL30_HUMAN;RS30_HUMAN;RS28_HUMAN;RS26_HUMAN;RS25_HUMAN;RS24_HUMAN;RS15_HUMAN;RL23_HUMAN;RS6_HUMAN;RL23A_HUMAN;RS4X_HUMAN;RL7A_HUMAN;RS11_HUMAN;RS13_HUMAN;RS29_HUMAN;RS18_HUMAN;RS23_HUMAN;RS14_HUMAN;RS16_HUMAN;RS15A_HUMAN;RS8_HUMAN;RS7_HUMAN;RL37_HUMAN;RL37A_HUMAN;RL27_HUMAN;RL15_HUMAN;RL26_HUMAN;RS3A_HUMAN;RS20_HUMAN;SELB_HUMAN;RL14_HUMAN;SYSC_HUMAN;RL34_HUMAN;RL29_HUMAN;RS10_HUMAN;RS5_HUMAN;RS9_HUMAN;RL28_HUMAN;RL21_HUMAN;RL5_HUMAN;RL27A_HUMAN;RL35_HUMAN;RS27_HUMAN;RL13A_HUMAN;RL3_HUMAN;RS19_HUMAN;RL4_HUMAN;RL22_HUMAN;RL9_HUMAN;RL12_HUMAN;RL10_HUMAN;RL13_HUMAN;RS12_HUMAN;RS3_HUMAN;RS4Y1_HUMAN;RL17_HUMAN;RL7_HUMAN;RL35A_HUMAN;RS2_HUMAN;RSSA_HUMAN;RS17_HUMAN;RLA0_HUMAN;RLA2_HUMAN;
Sema3A PAK dependent Axon repulsion,16,PLXA1_HUMAN;PLXA4_HUMAN;SEM3A_HUMAN;PAK2_HUMAN;PAK1_HUMAN;RAC1_HUMAN;LIMK1_HUMAN;LIMK1_HUMAN;PLXA3_HUMAN;COF1_HUMAN;HS90B_HUMAN;HS90A_HUMAN;FES_HUMAN;FYN_HUMAN;PAK3_HUMAN;PLXA2_HUMAN;
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,21,TLN1_HUMAN;PLXA1_HUMAN;PLXA1_HUMAN;PLXA4_HUMAN;PLXA4_HUMAN;RND1_HUMAN;SEM3A_HUMAN;SEM3A_HUMAN;RAC1_HUMAN;PLXA3_HUMAN;PLXA3_HUMAN;RRAS_HUMAN;FES_HUMAN;FYN_HUMAN;FYN_HUMAN;FARP2_HUMAN;FARP2_HUMAN;PLXA2_HUMAN;PLXA2_HUMAN;PI51C_HUMAN;NRP1_HUMAN;
Sema4D induced cell migration and growth-cone collapse,24,ARHGC_HUMAN;SEM4D_HUMAN;RND1_HUMAN;MYH14_HUMAN;ROCK1_HUMAN;ROCK1_HUMAN;RHOB_HUMAN;RHOB_HUMAN;RHOA_HUMAN;RHOA_HUMAN;MYL6_HUMAN;LIMK2_HUMAN;LIMK1_HUMAN;MYH11_HUMAN;MYH10_HUMAN;MYH9_HUMAN;MYL9_HUMAN;RHOC_HUMAN;RHOC_HUMAN;ERBB2_HUMAN;ROCK2_HUMAN;ROCK2_HUMAN;PLXB1_HUMAN;ARHGB_HUMAN;
Sema4D mediated inhibition of cell attachment and migration,7,RHG35_HUMAN;SEM4D_HUMAN;RND1_HUMAN;RAC1_HUMAN;RHOA_HUMAN;RRAS_HUMAN;MET_HUMAN;
SeMet incorporation into proteins,10,SYLC_HUMAN;SYK_HUMAN;AIMP2_HUMAN;AIMP1_HUMAN;SYMC_HUMAN;SYRC_HUMAN;SYQ_HUMAN;SYIC_HUMAN;SYDC_HUMAN;SYEP_HUMAN;
Senescence-Associated Secretory Phenotype (SASP),82,APC10_HUMAN;FZR_HUMAN;ANC2_HUMAN;APC4_HUMAN;APC5_HUMAN;APC7_HUMAN;CDC23_HUMAN;APC11_HUMAN;EHMT1_HUMAN;APC1_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;EHMT2_HUMAN;APC16_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;CDC26_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;IBP7_HUMAN;KS6A1_HUMAN;KS6A1_HUMAN;KS6A2_HUMAN;KS6A2_HUMAN;MK07_HUMAN;CDC16_HUMAN;TF65_HUMAN;CDK6_HUMAN;H33_HUMAN;CCNA1_HUMAN;H31_HUMAN;RL40_HUMAN;RS27A_HUMAN;H2B1C_HUMAN;H4_HUMAN;APC15_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;CDN2D_HUMAN;UB2E1_HUMAN;KS6A3_HUMAN;KS6A3_HUMAN;UB2D1_HUMAN;CDN1B_HUMAN;CDN2C_HUMAN;CDN2B_HUMAN;CD2A1_HUMAN;STAT3_HUMAN;CDN1A_HUMAN;H2B1B_HUMAN;CDC27_HUMAN;MK01_HUMAN;MK03_HUMAN;CDK2_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;CCNA2_HUMAN;NFKB1_HUMAN;CEBPB_HUMAN;CEBPB_HUMAN;H2AX_HUMAN;CDK4_HUMAN;IL8_HUMAN;UBC_HUMAN;UBB_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;JUN_HUMAN;IL6_HUMAN;H2A1B_HUMAN;IL1A_HUMAN;FOS_HUMAN;H2B1K_HUMAN;
Sensing of DNA Double Strand Breaks,5,KAT5_HUMAN;RAD50_HUMAN;ATM_HUMAN;IMA1_HUMAN;MRE11_HUMAN;
Separation of Sister Chromatids,187,DC1L1_HUMAN;MD1L1_HUMAN;NUDC_HUMAN;SMC3_HUMAN;PSD13_HUMAN;APC10_HUMAN;PSME2_HUMAN;ANC2_HUMAN;APC4_HUMAN;APC5_HUMAN;APC7_HUMAN;CDC23_HUMAN;RCC2_HUMAN;APC11_HUMAN;TBA8_HUMAN;NDE1_HUMAN;PDS5B_HUMAN;CENPM_HUMAN;INCE_HUMAN;SPC25_HUMAN;ZWILC_HUMAN;TBA4B_HUMAN;TBB1_HUMAN;DSN1_HUMAN;CENPH_HUMAN;APC1_HUMAN;MIS12_HUMAN;NDEL1_HUMAN;NUF2_HUMAN;NUP85_HUMAN;TBB2B_HUMAN;TBB6_HUMAN;CENPO_HUMAN;CENPK_HUMAN;TBA1C_HUMAN;B9D2_HUMAN;KIF2C_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;NSL1_HUMAN;CENPN_HUMAN;AURKB_HUMAN;DYL2_HUMAN;CDCA5_HUMAN;SEH1_HUMAN;SPDLY_HUMAN;APC16_HUMAN;CENPT_HUMAN;SKA1_HUMAN;CENPI_HUMAN;PSMF1_HUMAN;ELYS_HUMAN;STAG1_HUMAN;SKA2_HUMAN;NU133_HUMAN;PSA7L_HUMAN;KI18A_HUMAN;CDC26_HUMAN;CASC5_HUMAN;NUP37_HUMAN;NUP43_HUMAN;SPC24_HUMAN;KIF2B_HUMAN;STAG2_HUMAN;CENPS_HUMAN;CENPL_HUMAN;WAPL_HUMAN;CLAP1_HUMAN;TAOK1_HUMAN;CENPQ_HUMAN;TBA1A_HUMAN;CENPU_HUMAN;TBA3E_HUMAN;PMF1_HUMAN;CENPP_HUMAN;SGOL1_HUMAN;SGOL2_HUMAN;BOREA_HUMAN;TBB8_HUMAN;ERC6L_HUMAN;PDS5A_HUMAN;2A5E_HUMAN;PSMD5_HUMAN;MARE1_HUMAN;2A5B_HUMAN;2A5A_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;2A5D_HUMAN;SMC1A_HUMAN;ESPL1_HUMAN;DYHC1_HUMAN;CKAP5_HUMAN;TBB2A_HUMAN;TBA3C_HUMAN;TBB3_HUMAN;DC1I2_HUMAN;2A5G_HUMAN;CENPR_HUMAN;MD2L1_HUMAN;PSMD2_HUMAN;CDC16_HUMAN;CDC20_HUMAN;NU160_HUMAN;PSME1_HUMAN;CENPC_HUMAN;CENPE_HUMAN;TBB4B_HUMAN;TBA4A_HUMAN;TBA1B_HUMAN;PP2AA_HUMAN;DYL1_HUMAN;RL40_HUMAN;RS27A_HUMAN;PP2AB_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;APC15_HUMAN;NU107_HUMAN;SEC13_HUMAN;PSMD4_HUMAN;PLK1_HUMAN;NUP98_HUMAN;UB2E1_HUMAN;UB2D1_HUMAN;PSMD7_HUMAN;KNTC1_HUMAN;RBP2_HUMAN;PSB2_HUMAN;PSB3_HUMAN;CENPF_HUMAN;CENPA_HUMAN;PSMD8_HUMAN;RAGP1_HUMAN;PRS6B_HUMAN;LIS1_HUMAN;RS27_HUMAN;PSB10_HUMAN;PP1G_HUMAN;PRS7_HUMAN;CLIP1_HUMAN;CDC27_HUMAN;2AAB_HUMAN;2AAA_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;TBB4A_HUMAN;PTTG1_HUMAN;ZWINT_HUMAN;PSD10_HUMAN;CLAP2_HUMAN;BUB1B_HUMAN;RAD21_HUMAN;BUB3_HUMAN;BUB1_HUMAN;ZW10_HUMAN;PSMD3_HUMAN;DC1L2_HUMAN;BIRC5_HUMAN;XPO1_HUMAN;PSA7_HUMAN;NDC80_HUMAN;DC1I1_HUMAN;UBE2C_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;KIF2A_HUMAN;TBB8L_HUMAN;TBAL3_HUMAN;
Serine biosynthesis,8,SERC_HUMAN;SERC1_HUMAN;SRR_HUMAN;SERC2_HUMAN;SERC5_HUMAN;SERC3_HUMAN;SERB_HUMAN;SERA_HUMAN;
Serotonin and melatonin biosynthesis,4,TPH2_HUMAN;SNAT_HUMAN;ASMT_HUMAN;DDC_HUMAN;
Serotonin Neurotransmitter Release Cycle,17,SYN2_HUMAN;RIMS1_HUMAN;STX1A_HUMAN;LIPA1_HUMAN;VMAT2_HUMAN;VAMP2_HUMAN;SNP25_HUMAN;SYT1_HUMAN;RAB3A_HUMAN;SYN1_HUMAN;RIMB1_HUMAN;LIPA4_HUMAN;LIPA2_HUMAN;LIPA3_HUMAN;SYN3_HUMAN;CPLX1_HUMAN;UN13B_HUMAN;
Serotonin receptors,11,5HT4R_HUMAN;5HT6R_HUMAN;5HT5A_HUMAN;5HT2B_HUMAN;5HT7R_HUMAN;5HT1F_HUMAN;5HT1E_HUMAN;5HT2C_HUMAN;5HT2A_HUMAN;5HT1B_HUMAN;5HT1D_HUMAN;
SHC1 events in EGFR signaling,7,SOS1_HUMAN;SHC1_HUMAN;EGF_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;EGFR_HUMAN;
SHC1 events in ERBB2 signaling,37,HBEGF_HUMAN;HBEGF_HUMAN;NRG4_HUMAN;NRG4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;SOS1_HUMAN;KPCD_HUMAN;PTN12_HUMAN;PTN12_HUMAN;NRG1_HUMAN;NRG1_HUMAN;NRG1_HUMAN;NRG1_HUMAN;KPCE_HUMAN;NRG3_HUMAN;NRG3_HUMAN;BTC_HUMAN;BTC_HUMAN;SHC1_HUMAN;SHC1_HUMAN;SHC1_HUMAN;KPCA_HUMAN;ERBB2_HUMAN;ERBB2_HUMAN;EGF_HUMAN;EGF_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;EGFR_HUMAN;EGFR_HUMAN;EREG_HUMAN;EREG_HUMAN;NRG2_HUMAN;
SHC1 events in ERBB4 signaling,13,HBEGF_HUMAN;NRG4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;SOS1_HUMAN;NRG1_HUMAN;NRG3_HUMAN;BTC_HUMAN;SHC1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;EREG_HUMAN;
SHC-mediated cascade:FGFR1,17,KLOT_HUMAN;FGF20_HUMAN;FGF22_HUMAN;FGF23_HUMAN;SOS1_HUMAN;FGF9_HUMAN;SHC1_HUMAN;SHC1_HUMAN;FGF3_HUMAN;FGFR1_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;
SHC-mediated cascade:FGFR2,21,FGF20_HUMAN;FGF22_HUMAN;FGF23_HUMAN;SOS1_HUMAN;FGF9_HUMAN;SHC1_HUMAN;SHC1_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGF7_HUMAN;FGF3_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FGF18_HUMAN;FGF16_HUMAN;
SHC-mediated cascade:FGFR3,14,FGF20_HUMAN;FGF23_HUMAN;SOS1_HUMAN;FGF9_HUMAN;SHC1_HUMAN;SHC1_HUMAN;FGFR3_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FGF18_HUMAN;
SHC-mediated cascade:FGFR4,17,FGF20_HUMAN;FGF23_HUMAN;KLOTB_HUMAN;SOS1_HUMAN;FGF9_HUMAN;SHC1_HUMAN;SHC1_HUMAN;FGFR4_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FGF19_HUMAN;FGF18_HUMAN;
SHC-related events triggered by IGF1R,11,SOS1_HUMAN;SOS1_HUMAN;SHC1_HUMAN;SHC1_HUMAN;SHC1_HUMAN;SHC1_HUMAN;IGF1R_HUMAN;IGF1_HUMAN;IGF2_HUMAN;RASK_HUMAN;RASH_HUMAN;
Sialic acid metabolism,32,NEUR2_HUMAN;SIA10_HUMAN;GLCNE_HUMAN;NEUR3_HUMAN;SIAT9_HUMAN;SIA7B_HUMAN;SIA7A_HUMAN;S17A5_HUMAN;SIAS_HUMAN;SIA7D_HUMAN;NPL_HUMAN;SIA7E_HUMAN;NEUR1_HUMAN;SIAT2_HUMAN;SIA7F_HUMAN;SIA8D_HUMAN;SIA8B_HUMAN;SIA8A_HUMAN;NEUR4_HUMAN;NANP_HUMAN;NEUA_HUMAN;SIA7C_HUMAN;SIA4B_HUMAN;SIA4C_HUMAN;SIAT6_HUMAN;SIA4A_HUMAN;S35A1_HUMAN;SIA8F_HUMAN;BGAL_HUMAN;SIAT1_HUMAN;PPGB_HUMAN;SIA8C_HUMAN;
Signal attenuation,8,IRS2_HUMAN;GRB10_HUMAN;SOS1_HUMAN;IRS1_HUMAN;SHC1_HUMAN;MK01_HUMAN;MK03_HUMAN;INSR_HUMAN;
Signal regulatory protein family interactions,15,SIRPG_HUMAN;SFTA1_HUMAN;SFPA2_HUMAN;FAK2_HUMAN;CD47_HUMAN;CD47_HUMAN;PTN11_HUMAN;FAK1_HUMAN;SHPS1_HUMAN;SHPS1_HUMAN;SFTPD_HUMAN;PTN6_HUMAN;SKAP2_HUMAN;TYOBP_HUMAN;FYB_HUMAN;
Signal transduction by L1,19,ITA9_HUMAN;PAK1_HUMAN;MP2K1_HUMAN;CSK21_HUMAN;CSK2B_HUMAN;RAC1_HUMAN;VAV2_HUMAN;MP2K2_HUMAN;L1CAM_HUMAN;MK01_HUMAN;MK03_HUMAN;CSK22_HUMAN;NCAM1_HUMAN;ITA5_HUMAN;ITA2B_HUMAN;ITAV_HUMAN;ITB1_HUMAN;ITB3_HUMAN;EGFR_HUMAN;
Signaling by activated point mutants of FGFR1,7,FGF20_HUMAN;FGF23_HUMAN;FGF9_HUMAN;FGFR1_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;
Signaling by activated point mutants of FGFR3,9,FGF20_HUMAN;FGF23_HUMAN;FGF9_HUMAN;FGFR3_HUMAN;FGFR3_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;FGF18_HUMAN;
Signaling by Activin,15,ACV1C_HUMAN;ACV1C_HUMAN;SMAD2_HUMAN;NC2A_HUMAN;AVR2B_HUMAN;AVR2B_HUMAN;SMAD4_HUMAN;SMAD3_HUMAN;ACV1B_HUMAN;AVR2A_HUMAN;AVR2A_HUMAN;INHBB_HUMAN;INHBB_HUMAN;INHBA_HUMAN;INHBA_HUMAN;
Signaling by BMP,27,GDF2_HUMAN;SMUF1_HUMAN;SMUF2_HUMAN;GREM2_HUMAN;CRDL1_HUMAN;SMAD5_HUMAN;ZFY16_HUMAN;AMHR2_HUMAN;SMAD1_HUMAN;BMPR2_HUMAN;AVR2B_HUMAN;SMAD4_HUMAN;NOGG_HUMAN;FSTL1_HUMAN;UB2D3_HUMAN;UB2D1_HUMAN;ACVL1_HUMAN;BMR1A_HUMAN;AVR2A_HUMAN;SKI_HUMAN;BMP2_HUMAN;MIS_HUMAN;CER1_HUMAN;BMP10_HUMAN;SMAD6_HUMAN;SMAD9_HUMAN;SMAD7_HUMAN;
Signaling by BRAF and RAF fusions,59,TLN1_HUMAN;TRAK1_HUMAN;F1142_HUMAN;K1549_HUMAN;AKAP9_HUMAN;QKI_HUMAN;CNKR1_HUMAN;CNKR2_HUMAN;AGGF1_HUMAN;KSR1_HUMAN;F131B_HUMAN;AB1IP_HUMAN;ZCCHV_HUMAN;SND1_HUMAN;KDM7A_HUMAN;MPRIP_HUMAN;KSR2_HUMAN;ATRAP_HUMAN;ESRP1_HUMAN;PAPD7_HUMAN;AGK_HUMAN;MP2K1_HUMAN;ACTG_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;ACTB_HUMAN;CLCN6_HUMAN;FXR1_HUMAN;ARRB1_HUMAN;IQGA1_HUMAN;CSK_HUMAN;MP2K2_HUMAN;ARRB2_HUMAN;1433B_HUMAN;PEBP1_HUMAN;MK01_HUMAN;MARK3_HUMAN;MK03_HUMAN;VINC_HUMAN;BRAF_HUMAN;SRC_HUMAN;ARAF_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;RAF1_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;FIBA_HUMAN;LMNA_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;ATG7_HUMAN;JAK2_HUMAN;B2L11_HUMAN;PAPS1_HUMAN;TIF1A_HUMAN;
Signaling by cytosolic FGFR1 fusion mutants,16,GAB2_HUMAN;ZMYM2_HUMAN;FGOP2_HUMAN;MY18A_HUMAN;CNTRL_HUMAN;LRRF1_HUMAN;CPSF6_HUMAN;STA5B_HUMAN;PK3CA_HUMAN;STA5A_HUMAN;STAT1_HUMAN;STAT3_HUMAN;CUX1_HUMAN;P85A_HUMAN;BCR_HUMAN;FR1OP_HUMAN;
Signaling by EGFR,6,LRIG1_HUMAN;ADA17_HUMAN;EGF_HUMAN;EGF_HUMAN;EGFR_HUMAN;ADA12_HUMAN;
Signaling by ERBB2,18,HBEGF_HUMAN;LAP2_HUMAN;NRG4_HUMAN;CDC37_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;NRG1_HUMAN;NRG1_HUMAN;NRG3_HUMAN;BTC_HUMAN;SRC_HUMAN;YES_HUMAN;HS90A_HUMAN;FYN_HUMAN;ERBB2_HUMAN;EGF_HUMAN;EGFR_HUMAN;EREG_HUMAN;
Signaling by ERBB4,11,HBEGF_HUMAN;NRG4_HUMAN;ERBB4_HUMAN;ERBB4_HUMAN;NRG1_HUMAN;NRG1_HUMAN;NRG3_HUMAN;BTC_HUMAN;EGF_HUMAN;EGFR_HUMAN;EREG_HUMAN;
Signaling by FGFR1 in disease,30,ZMYM2_HUMAN;FGOP2_HUMAN;FGF20_HUMAN;FGF23_HUMAN;MY18A_HUMAN;FRS2_HUMAN;CNTRL_HUMAN;LRRF1_HUMAN;CPSF6_HUMAN;GAB1_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;CUX1_HUMAN;FGF9_HUMAN;P85A_HUMAN;PLCG1_HUMAN;FGFR1_HUMAN;FGFR1_HUMAN;BCR_HUMAN;FGF6_HUMAN;FGF2_HUMAN;FGF4_HUMAN;FGF1_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;FR1OP_HUMAN;BAG4_HUMAN;ERLN2_HUMAN;TIF1A_HUMAN;
Signaling by FGFR2 amplification mutants,1,FGFR2_HUMAN;
Signaling by FGFR2 IIIa TM,22,NCBP1_HUMAN;RPAB5_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;NCBP2_HUMAN;RPB9_HUMAN;T2FA_HUMAN;RPB2_HUMAN;RPB1_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;FGFR2_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;T2FB_HUMAN;FGF2_HUMAN;FGF1_HUMAN;RPB4_HUMAN;
