pathway,m,proteins
FOXA2 and FOXA3 transcription factor networks,45,ALBU_HUMAN;PCKGC_HUMAN;BDH_HUMAN;HNF1A_HUMAN;NF1_HUMAN;UCP2_HUMAN;GCR_HUMAN;THRB_HUMAN;HNF4A_HUMAN;G6PC_HUMAN;ABCC8_HUMAN;GTR2_HUMAN;HXK4_HUMAN;HMCS1_HUMAN;KPYR_HUMAN;CEBPA_HUMAN;ACADV_HUMAN;INS_HUMAN;FOXA1_HUMAN;TTHY_HUMAN;ALDOB_HUMAN;IRK11_HUMAN;TFR1_HUMAN;AKT1_HUMAN;CEBPD_HUMAN;CREB1_HUMAN;HEM1_HUMAN;CEBPB_HUMAN;HCDH_HUMAN;IBP1_HUMAN;CPT1B_HUMAN;SP1_HUMAN;FETA_HUMAN;FOXA3_HUMAN;HNF1B_HUMAN;APOA1_HUMAN;CPT1C_HUMAN;NKX21_HUMAN;FOXA2_HUMAN;CPT1A_HUMAN;DLK1_HUMAN;ACADM_HUMAN;FOXF1_HUMAN;ATTY_HUMAN;PDX1_HUMAN;
Insulin Pathway,45,PAR6A_HUMAN;EXOC6_HUMAN;GRB10_HUMAN;KPCI_HUMAN;SHIP1_HUMAN;EXOC5_HUMAN;EXOC3_HUMAN;EXOC1_HUMAN;RASA1_HUMAN;SHC1_HUMAN;EXOC7_HUMAN;SH2B2_HUMAN;CBL_HUMAN;SRBS1_HUMAN;PDPK1_HUMAN;INS_HUMAN;AKT2_HUMAN;4EBP1_HUMAN;NCK2_HUMAN;CIP4_HUMAN;SOS1_HUMAN;RASH_HUMAN;RPGF1_HUMAN;INSR_HUMAN;NCK1_HUMAN;PTN1_HUMAN;EXOC2_HUMAN;IRS1_HUMAN;P85A_HUMAN;PTN11_HUMAN;DOK1_HUMAN;FOXO3_HUMAN;EXOC4_HUMAN;CAV1_HUMAN;GRB2_HUMAN;AKT1_HUMAN;SGK1_HUMAN;GRB14_HUMAN;KS6B1_HUMAN;PAR3_HUMAN;;KPCZ_HUMAN;RHOQ_HUMAN;PTPRA_HUMAN;PK3CA_HUMAN;
Integrin-linked kinase signaling,45,PP14A_HUMAN;RAC1_HUMAN;RUVB2_HUMAN;ZEB1_HUMAN;TACC3_HUMAN;PP14B_HUMAN;CDC42_HUMAN;ELMO2_HUMAN;RHOG_HUMAN;PARP1_HUMAN;NACA_HUMAN;LIMS2_HUMAN;GSK3B_HUMAN;LIMS1_HUMAN;ZYX_HUMAN;XPO1_HUMAN;GIT2_HUMAN;RICTR_HUMAN;MYPT1_HUMAN;PARVG_HUMAN;ILK_HUMAN;ARHG6_HUMAN;MYL9_HUMAN;PARVA_HUMAN;CDC37_HUMAN;AURKA_HUMAN;HS90A_HUMAN;CCND1_HUMAN;TENS1_HUMAN;CREB1_HUMAN;ILKAP_HUMAN;PARVB_HUMAN;RUVB1_HUMAN;ACTN1_HUMAN;JUN_HUMAN;PP14C_HUMAN;CTNB1_HUMAN;SNAI1_HUMAN;AKT1_HUMAN;ARHG7_HUMAN;NCK2_HUMAN;PAXI_HUMAN;IQGA1_HUMAN;CKAP5_HUMAN;DIAP1_HUMAN;
PAR1-mediated thrombin signaling events,45,GBB1_HUMAN;ARHG1_HUMAN;GNAZ_HUMAN;GNAQ_HUMAN;PKN1_HUMAN;ARBK2_HUMAN;GNA13_HUMAN;SNX1_HUMAN;AKP13_HUMAN;GNAO_HUMAN;;TRPC6_HUMAN;NOS3_HUMAN;GNA14_HUMAN;GNAI2_HUMAN;ROCK1_HUMAN;KPCA_HUMAN;PLCB2_HUMAN;PLCB1_HUMAN;ARRB1_HUMAN;GNA12_HUMAN;GNAI3_HUMAN;PK3CA_HUMAN;RHOA_HUMAN;KPCG_HUMAN;;PAR1_HUMAN;DYN1_HUMAN;KPCD_HUMAN;MLRV_HUMAN;GBG2_HUMAN;P85A_HUMAN;PLCB3_HUMAN;ROCK2_HUMAN;GNA15_HUMAN;THRB_HUMAN;GNAI1_HUMAN;ZYX_HUMAN;PAR3_HUMAN;DYN2_HUMAN;GNA11_HUMAN;SNX2_HUMAN;GDIR1_HUMAN;GNAO_HUMAN;VASP_HUMAN;
FOXA1 transcription factor network,44,TFF1_HUMAN;FOXA3_HUMAN;PO2F1_HUMAN;DSCAM_HUMAN;C4BPB_HUMAN;SFTPD_HUMAN;COT2_HUMAN;XBP1_HUMAN;SP1_HUMAN;UTER_HUMAN;NFIA_HUMAN;SFTA1_HUMAN;GLUC_HUMAN;SHH_HUMAN;CP2CI_HUMAN;NFIC_HUMAN;A1AT_HUMAN;AP1B1_HUMAN;SODC_HUMAN;ATP5J_HUMAN;ANDR_HUMAN;NRIP1_HUMAN;FOXA2_HUMAN;INS_HUMAN;CBP_HUMAN;JUN_HUMAN;KLK3_HUMAN;CEBPB_HUMAN;BRCA1_HUMAN;FOXA1_HUMAN;VTNC_HUMAN;FOS_HUMAN;NCOA3_HUMAN;CDN1B_HUMAN;APOB_HUMAN;ESR1_HUMAN;COIA1_HUMAN;SFPA2_HUMAN;PISD_HUMAN;EP300_HUMAN;PRD15_HUMAN;NFIB_HUMAN;NKX31_HUMAN;NDUV3_HUMAN;
Internalization of ErbB1,44,;P85A_HUMAN;AMPH_HUMAN;SRC_HUMAN;ITSN1_HUMAN;;UB2D2_HUMAN;PK3CB_HUMAN;SPY2_HUMAN;PK3CD_HUMAN;RASH_HUMAN;TS101_HUMAN;LST2_HUMAN;DYN1_HUMAN;RAF1_HUMAN;P85B_HUMAN;P55G_HUMAN;;;SYNJ1_HUMAN;RASN_HUMAN;SOS1_HUMAN;SH3K1_HUMAN;EPN1_HUMAN;PK3CA_HUMAN;;UB2D3_HUMAN;STABP_HUMAN;EGFR_HUMAN;ARHG7_HUMAN;HGS_HUMAN;RAB5A_HUMAN;;CBL_HUMAN;LRIG1_HUMAN;CBLB_HUMAN;CDC42_HUMAN;EGF_HUMAN;UB2D1_HUMAN;GRB2_HUMAN;SH3G2_HUMAN;CHMP3_HUMAN;EPS15_HUMAN;UBP8_HUMAN;
Signaling events mediated by TCPTP,44,HGF_HUMAN;CBP_HUMAN;IMA2_HUMAN;P85B_HUMAN;PK3CA_HUMAN;PTN1_HUMAN;GRB2_HUMAN;PGFRB_HUMAN;PK3CD_HUMAN;VGFR2_HUMAN;CSF1R_HUMAN;E2AK2_HUMAN;;P85A_HUMAN;PDGFB_HUMAN;CSF1_HUMAN;;JAK3_HUMAN;EGF_HUMAN;PIAS1_HUMAN;ITA1_HUMAN;RAB4A_HUMAN;INS_HUMAN;;STAT3_HUMAN;LMAN1_HUMAN;SRC_HUMAN;VEGFA_HUMAN;PK3CB_HUMAN;GAB1_HUMAN;ITB1_HUMAN;JAK1_HUMAN;STAT1_HUMAN;IMB1_HUMAN;STA5A_HUMAN;INSR_HUMAN;SOS1_HUMAN;MET_HUMAN;STAT6_HUMAN;STA5B_HUMAN;EGFR_HUMAN;P55G_HUMAN;EIF2A_HUMAN;ATR_HUMAN;
Beta3 integrin cell surface interactions,43,CO4A5_HUMAN;VEGFA_HUMAN;LAMB1_HUMAN;L1CAM_HUMAN;ITA2B_HUMAN;CYR61_HUMAN;CO4A6_HUMAN;FIBG_HUMAN;LAMA4_HUMAN;CO4A1_HUMAN;EDIL3_HUMAN;JAM1_HUMAN;SIAL_HUMAN;PDGFB_HUMAN;FBN1_HUMAN;PGFRB_HUMAN;FIBB_HUMAN;FINC_HUMAN;CO4A3_HUMAN;SPHK1_HUMAN;TGFR2_HUMAN;ITB3_HUMAN;OSTP_HUMAN;CO1A1_HUMAN;CO1A2_HUMAN;LAMC1_HUMAN;BGH3_HUMAN;TENA_HUMAN;PECA1_HUMAN;UPAR_HUMAN;VTNC_HUMAN;UROK_HUMAN;VGFR2_HUMAN;ITAV_HUMAN;CO4A4_HUMAN;CD47_HUMAN;HMGB1_HUMAN;FIBA_HUMAN;THY1_HUMAN;TSP1_HUMAN;SDC4_HUMAN;PVR_HUMAN;SDC1_HUMAN;
FOXM1 transcription factor network,43,CCNA2_HUMAN;MPIP2_HUMAN;;CDK4_HUMAN;CENPB_HUMAN;BIRC5_HUMAN;FOS_HUMAN;CCNB2_HUMAN;GSK3A_HUMAN;CCNB1_HUMAN;SKP2_HUMAN;CHK2_HUMAN;CENPA_HUMAN;MMP2_HUMAN;;ESR1_HUMAN;FOXM1_HUMAN;CCND1_HUMAN;CBP_HUMAN;MYC_HUMAN;GAS1_HUMAN;AURKB_HUMAN;CENPF_HUMAN;CDK2_HUMAN;NEK2_HUMAN;CKS1_HUMAN;BRCA2_HUMAN;CCNE1_HUMAN;TGFA_HUMAN;HSP71_HUMAN;;LAMA4_HUMAN;ETV5_HUMAN;CDK1_HUMAN;MP2K1_HUMAN;RB_HUMAN;EP300_HUMAN;SP1_HUMAN;PLK1_HUMAN;XRCC1_HUMAN;HNF6_HUMAN;NFAC3_HUMAN;H2B1A_HUMAN;
Plasma membrane estrogen receptor signaling,43,NOS3_HUMAN;ROCK2_HUMAN;GBB1_HUMAN;GNAQ_HUMAN;GNA13_HUMAN;ESR1_HUMAN;RASN_HUMAN;IGF1_HUMAN;ESR2_HUMAN;BCAR1_HUMAN;SRC_HUMAN;AKT1_HUMAN;GRB2_HUMAN;;GNAL_HUMAN;GBG2_HUMAN;GNA11_HUMAN;PELP1_HUMAN;GNAI3_HUMAN;GNAO_HUMAN;MK11_HUMAN;GNA15_HUMAN;SOS1_HUMAN;IGF1R_HUMAN;STRN_HUMAN;HBEGF_HUMAN;RHOA_HUMAN;MMP2_HUMAN;;PLCB2_HUMAN;PK3CA_HUMAN;P85A_HUMAN;MMP9_HUMAN;GNA14_HUMAN;GNAO_HUMAN;GNAI2_HUMAN;;GNAZ_HUMAN;PLCB3_HUMAN;MOES_HUMAN;PLCB1_HUMAN;RASH_HUMAN;GNAI1_HUMAN;
BMP receptor signaling,42,BMP4_HUMAN;SMUF2_HUMAN;SMAD5_HUMAN;PR15A_HUMAN;M3K7_HUMAN;BMR1A_HUMAN;TAB2_HUMAN;RGMA_HUMAN;BMP7_HUMAN;SMAD4_HUMAN;BMP6_HUMAN;SMUF1_HUMAN;CTDS1_HUMAN;RGMB_HUMAN;SOSD1_HUMAN;FST_HUMAN;GREM1_HUMAN;SMAD6_HUMAN;XIAP_HUMAN;ZFY16_HUMAN;MK01_HUMAN;FETUA_HUMAN;BMP2_HUMAN;NU214_HUMAN;SMAD1_HUMAN;RGMC_HUMAN;SMAD7_HUMAN;CER1_HUMAN;NOGG_HUMAN;CTDSL_HUMAN;BAMBI_HUMAN;BMR1B_HUMAN;GSK3B_HUMAN;TAB1_HUMAN;PP1A_HUMAN;SKI_HUMAN;CHRD_HUMAN;CRDL1_HUMAN;SMAD9_HUMAN;BMPR2_HUMAN;CTDS2_HUMAN;PPM1A_HUMAN;
Stabilization and expansion of the E-cadherin adherens junction,42,LIMA1_HUMAN;NCK1_HUMAN;MGAT3_HUMAN;IGF1R_HUMAN;CYFP2_HUMAN;AQP5_HUMAN;VINC_HUMAN;NCKP1_HUMAN;ACTN1_HUMAN;KIFC3_HUMAN;ARF6_HUMAN;LPP_HUMAN;EXOC3_HUMAN;CTNB1_HUMAN;AQP3_HUMAN;GIT1_HUMAN;EGF_HUMAN;CTND1_HUMAN;HGF_HUMAN;DIAP1_HUMAN;ZYX_HUMAN;ABI1_HUMAN;EGFR_HUMAN;VASP_HUMAN;ROCK1_HUMAN;EXOC4_HUMAN;MYO6_HUMAN;ENAH_HUMAN;PVRL2_HUMAN;RHOA_HUMAN;MLRV_HUMAN;PKHA7_HUMAN;CADH1_HUMAN;EFNA1_HUMAN;EPHA2_HUMAN;IGF1_HUMAN;MET_HUMAN;STX4_HUMAN;CAMP3_HUMAN;;CTNA1_HUMAN;PI51C_HUMAN;
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling,42,MMP12_HUMAN;FIBA_HUMAN;ITA5_HUMAN;FINC_HUMAN;ITA3_HUMAN;ITB5_HUMAN;ITB3_HUMAN;SRC_HUMAN;NUCL_HUMAN;LRP1_HUMAN;FPR2_HUMAN;FPR3_HUMAN;FPR1_HUMAN;PHLD_HUMAN;MMP9_HUMAN;ITAM_HUMAN;FIBB_HUMAN;PAI1_HUMAN;RAC1_HUMAN;MMP3_HUMAN;PDGFD_HUMAN;VLDLR_HUMAN;VTNC_HUMAN;HGF_HUMAN;UROK_HUMAN;MMP13_HUMAN;CRK_HUMAN;CATG_HUMAN;KLK4_HUMAN;DOCK1_HUMAN;PGFRB_HUMAN;PLMN_HUMAN;UPAR_HUMAN;ELNE_HUMAN;ITAV_HUMAN;FIBG_HUMAN;ITB2_HUMAN;ITB1_HUMAN;BCAR1_HUMAN;CTRC_HUMAN;TGFB1_HUMAN;EGFR_HUMAN;
amb2 Integrin signaling,41,ITAM_HUMAN;SELPL_HUMAN;RAP1A_HUMAN;UROK_HUMAN;NFKB1_HUMAN;APOA_HUMAN;PLMN_HUMAN;LYAM3_HUMAN;MYH2_HUMAN;APOB_HUMAN;ICAM1_HUMAN;LYN_HUMAN;AKT1_HUMAN;TNFA_HUMAN;RON_HUMAN;CTGF_HUMAN;FYN_HUMAN;ROCK1_HUMAN;TLN1_HUMAN;HGFL_HUMAN;ITB2_HUMAN;THY1_HUMAN;RHOA_HUMAN;SRC_HUMAN;MMP2_HUMAN;IL6_HUMAN;HCK_HUMAN;UPAR_HUMAN;JAM3_HUMAN;RAP1B_HUMAN;BLK_HUMAN;LRP1_HUMAN;MMP9_HUMAN;RAGE_HUMAN;JAM2_HUMAN;HMGB1_HUMAN;LCK_HUMAN;KPCZ_HUMAN;YES_HUMAN;FGR_HUMAN;TPA_HUMAN;
EPHB forward signaling,41,EPHB2_HUMAN;EPHB4_HUMAN;EFNA5_HUMAN;MK01_HUMAN;SRC_HUMAN;GRB2_HUMAN;MP2K1_HUMAN;PAXI_HUMAN;;CDC42_HUMAN;RASH_HUMAN;NCK1_HUMAN;;EFNB3_HUMAN;RRAS_HUMAN;PAK1_HUMAN;MK03_HUMAN;GRB7_HUMAN;;SYNJ1_HUMAN;EPHB3_HUMAN;EFNB1_HUMAN;DYN1_HUMAN;M4K4_HUMAN;;PK3CA_HUMAN;GRIA1_HUMAN;EPHB1_HUMAN;ROCK1_HUMAN;RASN_HUMAN;ITSN1_HUMAN;RAP1A_HUMAN;RAC1_HUMAN;RAP1B_HUMAN;EFNB2_HUMAN;P85A_HUMAN;;WASL_HUMAN;TRFE_HUMAN;KALRN_HUMAN;RASA1_HUMAN;
IFN-gamma pathway,41,CBL_HUMAN;MTOR_HUMAN;STAT3_HUMAN;IFNG_HUMAN;KCC2B_HUMAN;RAP1B_HUMAN;JAK1_HUMAN;CALM_HUMAN;IRF9_HUMAN;P85A_HUMAN;KCC2D_HUMAN;PIAS4_HUMAN;IRF1_HUMAN;PGES2_HUMAN;CASP1_HUMAN;MK01_HUMAN;DAPK1_HUMAN;MK03_HUMAN;CRKL_HUMAN;INGR1_HUMAN;PK3CA_HUMAN;MP2K1_HUMAN;CEBPB_HUMAN;RAP1A_HUMAN;;STAT1_HUMAN;KPCD_HUMAN;AKT1_HUMAN;EP300_HUMAN;IL1B_HUMAN;RPGF1_HUMAN;KCC2G_HUMAN;SOCS1_HUMAN;M3K1_HUMAN;JAK2_HUMAN;PIAS1_HUMAN;KCC2A_HUMAN;SMAD7_HUMAN;M3K11_HUMAN;PTN11_HUMAN;CBP_HUMAN;
Aurora B signaling,40,PP1G_HUMAN;KIF23_HUMAN;CND2_HUMAN;SGOL1_HUMAN;STMN1_HUMAN;AURKC_HUMAN;MYLK_HUMAN;SMC2_HUMAN;RHOA_HUMAN;BIRC5_HUMAN;KIF2C_HUMAN;NUCL_HUMAN;CBX5_HUMAN;BOREA_HUMAN;SEPT1_HUMAN;VIME_HUMAN;DESM_HUMAN;KLHL9_HUMAN;RGAP1_HUMAN;AURKA_HUMAN;INCE_HUMAN;PSA3_HUMAN;NSUN2_HUMAN;CND1_HUMAN;RASA1_HUMAN;KLH13_HUMAN;BUB1_HUMAN;NDC80_HUMAN;SMC4_HUMAN;CND3_HUMAN;AURKB_HUMAN;KI20A_HUMAN;TACC1_HUMAN;2A5D_HUMAN;PEBP1_HUMAN;CENPA_HUMAN;H33_HUMAN;EVI5_HUMAN;CUL3_HUMAN;NPM_HUMAN;
ErbB4 signaling events,40,LRIG1_HUMAN;NEDD4_HUMAN;FYN_HUMAN;STA5A_HUMAN;ITCH_HUMAN;DLG4_HUMAN;MDM2_HUMAN;TAB2_HUMAN;YAP1_HUMAN;;P85A_HUMAN;;BTC_HUMAN;P85B_HUMAN;EREG_HUMAN;;P55G_HUMAN;STA5B_HUMAN;WWP1_HUMAN;PK3CA_HUMAN;WWOX_HUMAN;MTG16_HUMAN;MK03_HUMAN;HBEGF_HUMAN;JAK2_HUMAN;PRL_HUMAN;MK01_HUMAN;PK3CD_HUMAN;PRLR_HUMAN;;NCOR1_HUMAN;PK3CB_HUMAN;GRB2_HUMAN;NMDE2_HUMAN;;ADA17_HUMAN;SHC1_HUMAN;ERBB2_HUMAN;NRG4_HUMAN;NRG3_HUMAN;
FAS (CD95) signaling pathway,40,MK14_HUMAN;CLH1_HUMAN;MK10_HUMAN;MK09_HUMAN;PK3CA_HUMAN;P85B_HUMAN;PDPK1_HUMAN;BIRC2_HUMAN;CASP8_HUMAN;FADD_HUMAN;PK3CB_HUMAN;BID_HUMAN;M3K1_HUMAN;CASPA_HUMAN;AKT1_HUMAN;RFC1_HUMAN;LFG2_HUMAN;TNFL6_HUMAN;;SRC_HUMAN;BTK_HUMAN;;RIPK1_HUMAN;EZRI_HUMAN;MK11_HUMAN;P85A_HUMAN;IKKA_HUMAN;CASP3_HUMAN;PK3CD_HUMAN;NEMO_HUMAN;MK08_HUMAN;KSYK_HUMAN;P55G_HUMAN;CFLAR_HUMAN;MP2K7_HUMAN;ASM_HUMAN;BIRC3_HUMAN;TNR6_HUMAN;IKKB_HUMAN;MP2K6_HUMAN;
ATR signaling pathway,39,HUS1_HUMAN;SSPO_HUMAN;MPIP3_HUMAN;FBW1B_HUMAN;MCM7_HUMAN;2AAA_HUMAN;RFA2_HUMAN;CLSPN_HUMAN;CDC6_HUMAN;ATRIP_HUMAN;RAD17_HUMAN;FACD2_HUMAN;RFC5_HUMAN;MCM2_HUMAN;MDM2_HUMAN;1433Z_HUMAN;SMAL1_HUMAN;RAD9A_HUMAN;MPIP1_HUMAN;RFA1_HUMAN;TIM_HUMAN;PLK1_HUMAN;RFC3_HUMAN;1433B_HUMAN;TOPB1_HUMAN;NBN_HUMAN;2ABB_HUMAN;CDK2_HUMAN;RAD51_HUMAN;ATR_HUMAN;RAD1_HUMAN;RFC4_HUMAN;BRCA2_HUMAN;CHK1_HUMAN;CCNA2_HUMAN;PP2AA_HUMAN;TIPIN_HUMAN;RFC2_HUMAN;CE164_HUMAN;
E-cadherin signaling in the nascent adherens junction,39,ITAE_HUMAN;ZO1_HUMAN;CYFP2_HUMAN;RPGF1_HUMAN;SRC8_HUMAN;CRK_HUMAN;TIAM1_HUMAN;PI51C_HUMAN;CTNA1_HUMAN;;WASF2_HUMAN;PLAK_HUMAN;CSK2B_HUMAN;DLG1_HUMAN;CTND1_HUMAN;CSK21_HUMAN;IQGA1_HUMAN;ITB7_HUMAN;KLH20_HUMAN;PK3CA_HUMAN;ARF6_HUMAN;ENAH_HUMAN;RHOA_HUMAN;RAC1_HUMAN;CSK22_HUMAN;CTNB1_HUMAN;P85A_HUMAN;SRC_HUMAN;NDKA_HUMAN;ABI1_HUMAN;RAP1B_HUMAN;NCKP1_HUMAN;RAP1A_HUMAN;CCND1_HUMAN;CADH1_HUMAN;AP1M1_HUMAN;VAV2_HUMAN;CDC42_HUMAN;AKT1_HUMAN;
Signaling events regulated by Ret tyrosine kinase,39,KAPCA_HUMAN;PAXI_HUMAN;GAB1_HUMAN;GRB2_HUMAN;DOK4_HUMAN;CREB1_HUMAN;SHC1_HUMAN;P85A_HUMAN;NCK1_HUMAN;PDLI7_HUMAN;KPCA_HUMAN;RET_HUMAN;BCAR1_HUMAN;MK03_HUMAN;IRS1_HUMAN;;RHOA_HUMAN;DOK5_HUMAN;CRK_HUMAN;PTN11_HUMAN;SOS1_HUMAN;FRS2_HUMAN;RAC1_HUMAN;MK08_HUMAN;DOK1_HUMAN;GRB7_HUMAN;SRC_HUMAN;MK01_HUMAN;RAP1A_HUMAN;PK3CA_HUMAN;GFRA1_HUMAN;JUN_HUMAN;GRB10_HUMAN;DOK6_HUMAN;GDNF_HUMAN;IRS2_HUMAN;SHAN3_HUMAN;RASA1_HUMAN;RASH_HUMAN;
EGF receptor (ErbB1) signaling pathway,38,EGF_HUMAN;PAK1_HUMAN;GNAI3_HUMAN;GNAI1_HUMAN;NCK2_HUMAN;P85B_HUMAN;STAT1_HUMAN;;NCK1_HUMAN;SRC_HUMAN;WASL_HUMAN;RASN_HUMAN;;;P55G_HUMAN;SOS1_HUMAN;RASH_HUMAN;;TLN1_HUMAN;;PTN1_HUMAN;PI51C_HUMAN;STAT3_HUMAN;PK3CB_HUMAN;;GRB2_HUMAN;P85A_HUMAN;PK3CD_HUMAN;PTN6_HUMAN;GELS_HUMAN;PLCG1_HUMAN;EGFR_HUMAN;MK01_HUMAN;RASA1_HUMAN;GAB1_HUMAN;PK3CA_HUMAN;MK03_HUMAN;PTN11_HUMAN;
GMCSF-mediated signaling events,38,CSF2R_HUMAN;1433Z_HUMAN;P85A_HUMAN;RASN_HUMAN;IL3RB_HUMAN;MK03_HUMAN;MP2K2_HUMAN;MK01_HUMAN;FOS_HUMAN;GAB2_HUMAN;KAPCB_HUMAN;CCL2_HUMAN;STA5B_HUMAN;ONCM_HUMAN;GRB2_HUMAN;PIM1_HUMAN;LYN_HUMAN;CISH_HUMAN;CSF2_HUMAN;IKKB_HUMAN;;STAT1_HUMAN;RASH_HUMAN;STAT3_HUMAN;KAPCA_HUMAN;RAF1_HUMAN;SHC1_HUMAN;STA5A_HUMAN;;PK3CA_HUMAN;JAK2_HUMAN;KAPCG_HUMAN;PTN11_HUMAN;SHIP1_HUMAN;KSYK_HUMAN;MP2K1_HUMAN;SOS1_HUMAN;IRF8_HUMAN;
Regulation of RAC1 activity,38,DOCK6_HUMAN;RHG17_HUMAN;EPS8_HUMAN;RGRF1_HUMAN;PREX2_HUMAN;RGRF2_HUMAN;RHG01_HUMAN;ARHG7_HUMAN;CHIO_HUMAN;RAC1_HUMAN;SOS1_HUMAN;KALRN_HUMAN;CHIN_HUMAN;NGEF_HUMAN;SPT13_HUMAN;DOCK1_HUMAN;ARHG2_HUMAN;DEFI6_HUMAN;ELMO1_HUMAN;VAV2_HUMAN;GDIR1_HUMAN;RGAP1_HUMAN;RHG09_HUMAN;VAV3_HUMAN;ARHG6_HUMAN;BCR_HUMAN;TRIO_HUMAN;ABI1_HUMAN;MCF2_HUMAN;PREX1_HUMAN;ABR_HUMAN;ARHGP_HUMAN;GDS1_HUMAN;TIAM2_HUMAN;DOCK2_HUMAN;VAV_HUMAN;RBP1_HUMAN;TIAM1_HUMAN;
Signaling mediated by p38-alpha and p38-beta,38,ELK4_HUMAN;ATF2_HUMAN;MKNK1_HUMAN;PRGC1_HUMAN;MAPK3_HUMAN;MAPK5_HUMAN;HBP1_HUMAN;USF1_HUMAN;RAB5A_HUMAN;DDIT3_HUMAN;KS6A5_HUMAN;MEF2A_HUMAN;IF4E_HUMAN;CSK2B_HUMAN;MITF_HUMAN;ATF6A_HUMAN;CSK21_HUMAN;CEBPB_HUMAN;PGH2_HUMAN;GDIA_HUMAN;HSPB1_HUMAN;MK14_HUMAN;KS6A4_HUMAN;K1C19_HUMAN;MAPK2_HUMAN;ATF1_HUMAN;JUN_HUMAN;MK11_HUMAN;MEF2C_HUMAN;PA24A_HUMAN;4EBP1_HUMAN;CREB1_HUMAN;CSK22_HUMAN;ESR1_HUMAN;P53_HUMAN;SL9A1_HUMAN;K2C8_HUMAN;NOS2_HUMAN;
IL23-mediated signaling events,37,IKBA_HUMAN;IL12B_HUMAN;IL2_HUMAN;GROA_HUMAN;P85A_HUMAN;IL1B_HUMAN;STAT1_HUMAN;TNFA_HUMAN;TF65_HUMAN;TYK2_HUMAN;SOCS3_HUMAN;NOS2_HUMAN;PK3CA_HUMAN;IL23R_HUMAN;CXCL9_HUMAN;IL24_HUMAN;ITA3_HUMAN;CCL2_HUMAN;NFKB1_HUMAN;IL19_HUMAN;I18RA_HUMAN;IL6_HUMAN;STA5A_HUMAN;IL18R_HUMAN;PERM_HUMAN;LX12B_HUMAN;STAT3_HUMAN;CD3E_HUMAN;IL23A_HUMAN;JAK2_HUMAN;IL17F_HUMAN;STAT4_HUMAN;IL17_HUMAN;IL18_HUMAN;I12R1_HUMAN;IFNG_HUMAN;CD4_HUMAN;
Retinoic acid receptors-mediated signaling,37,;;RXRG_HUMAN;CCNH_HUMAN;;CDK1_HUMAN;KPCG_HUMAN;;AKT1_HUMAN;NCOA1_HUMAN;NCOA3_HUMAN;VDR_HUMAN;;KPCA_HUMAN;;RXRA_HUMAN;CDK7_HUMAN;MK08_HUMAN;;EP300_HUMAN;;MK14_HUMAN;CBP_HUMAN;KAPCA_HUMAN;MAT1_HUMAN;NCOR2_HUMAN;RET1_HUMAN;MK01_HUMAN;;MK03_HUMAN;HDAC3_HUMAN;NRIP1_HUMAN;NCOA2_HUMAN;RARA_HUMAN;;KAT2B_HUMAN;HDAC1_HUMAN;
Trk receptor signaling mediated by PI3K and PLC-gamma,37,;KPCD_HUMAN;GAB1_HUMAN;KCC2A_HUMAN;1433B_HUMAN;1433F_HUMAN;SOS1_HUMAN;PK3CA_HUMAN;;RASN_HUMAN;NGF_HUMAN;KCC4_HUMAN;RASH_HUMAN;1433Z_HUMAN;AGAP2_HUMAN;CREB1_HUMAN;GSK3B_HUMAN;TRPV1_HUMAN;SHC1_HUMAN;1433T_HUMAN;E41L1_HUMAN;P85A_HUMAN;EGR1_HUMAN;BAD_HUMAN;1433S_HUMAN;SRC_HUMAN;1433E_HUMAN;PDPK1_HUMAN;1433G_HUMAN;CCND1_HUMAN;TRPC3_HUMAN;STA5A_HUMAN;FOXO3_HUMAN;;PLCG1_HUMAN;GRB2_HUMAN;AKT1_HUMAN;
Validated transcriptional targets of AP1 family members Fra1 and Fra2,37,MMP9_HUMAN;MMP2_HUMAN;ATF4_HUMAN;OSTCN_HUMAN;JUNB_HUMAN;JUN_HUMAN;EP300_HUMAN;MGP_HUMAN;;INVO_HUMAN;CXA1_HUMAN;PGS2_HUMAN;UPAR_HUMAN;TXLNG_HUMAN;SP1_HUMAN;LAMA3_HUMAN;HMOX1_HUMAN;;ITB4_HUMAN;CCNA2_HUMAN;NFAC2_HUMAN;CO1A2_HUMAN;UROK_HUMAN;FOSL1_HUMAN;NOS3_HUMAN;JUND_HUMAN;LIF_HUMAN;CCL2_HUMAN;DMTF1_HUMAN;IL8_HUMAN;CCND1_HUMAN;TRBM_HUMAN;IL6_HUMAN;USF2_HUMAN;MMP1_HUMAN;NFAC1_HUMAN;NFAC3_HUMAN;
